Strike ID,Date,Adm_1,Adm_2,Loc,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_1,matched_sort_Adm_1_ufi,matched_sort_Adm_1_adm1,matched_sort_Adm_1_matched_sort_Adm_1,matched_sort_Adm_1_full_name,matched_sort_Adm_1_full_nm_nd,matched_sort_Adm_1_desig_cd,matched_sort_Adm_1_lat_dd,matched_sort_Adm_1_long_dd,matched_sort_Adm_2,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_matched_sort_Adm_2,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_desig_cd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd,matched_sort_Loc,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_matched_sort_Loc,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_desig_cd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
SOM023,31/01/2015,Bay,Dinsoor,unclear,2,9,0,4,0,0,0,4,BAY,-3216354.0,SO-BY,BAY,Bay,Bay,ADM1,3.0,43.5,unclear,,,,,,,,,,,,,,,,,
SOM024,12/03/2015,Gedo,Baardheere,Unknown,3,3,0,0,0,0,0,0,GEDO,-3222209.0,SO-GE,GEDO,Gedo,Gedo,ADM1,3.0,42.0,unclear,,,,,,,,,,,,,,,,,
SOM025,15/07/2015,Gedo,Baardheere,Unknown,2,3,0,0,0,0,0,0,GEDO,-3222209.0,SO-GE,GEDO,Gedo,Gedo,ADM1,3.0,42.0,unclear,,,,,,,,,,,,,,,,,
SOM026,15/07/2015,Gedo,Baardheere,Unknown,0,0,0,0,0,0,0,0,GEDO,-3222209.0,SO-GE,GEDO,Gedo,Gedo,ADM1,3.0,42.0,unclear,,,,,,,,,,,,,,,,,
SOM027,21/11/2015,Shabeellaha Hoose,Wanlaweyn,Balcad,5,10,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,BALCAD,-3215956.0,SO-SH,BALCAD,Balcad,Balcad,PPL,2.649822,45.049614
SOM028,29/11/2015,Hiiraan,multiple,Unknown,0,0,0,0,0,0,0,0,HIIRAAN,-3223979.0,SO-HI,HIIRAAN,Hiiraan,Hiiraan,ADM1,4.0,45.5,,,,,,,,,,,,,,,,,,
SOM029,02/12/2015,Jubbada Dhexe,Jilib,Qunyo Barrow,3,3,0,0,0,0,0,0,JUBBADADHEXE,-3224955.0,SO-JD,JUBBADADHEXE,Jubbada Dhexe,Jubbada Dhexe,ADM1,1.33333,42.66667,unclear,,,,,,,,,QUNYOBARROW,-3228309.0,SO-JD,QUNYOBARROW,Qunyo Barrow,Qunyo Barrow,PPL,0.800088,43.385188
SOM030,21/12/2015,Shabeellaha Hoose,Kurtunwaarey,Unknown,5,5,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,,,,,,,,,
SOM031,05/03/2016,Hiiraan,unclear,Raso,150,200,0,0,0,0,0,0,HIIRAAN,-3223979.0,SO-HI,HIIRAAN,Hiiraan,Hiiraan,ADM1,4.0,45.5,,,,,,,,,,RASO,-3228523.0,SO-HI,RASO,Raso,Raso,SPNG,3.5597,45.0543
SOM032,08/03/2016,Shabeellaha Hoose,Afgooye,Awdheegle,19,19,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,AWDHEEGLE,-3215580.0,SO-SH,AWDHEEGLE,Aw Dheegle,Aw Dheegle,PPL,1.977532,44.832486
SOM033,31/03/2016,Jubbada Dhexe,Jillib,Unknown,3,3,0,0,0,0,0,0,JUBBADADHEXE,-3224955.0,SO-JD,JUBBADADHEXE,Jubbada Dhexe,Jubbada Dhexe,ADM1,1.33333,42.66667,unclear,,,,,,,,,,,,,,,,,
SOM034,01/04/2016,unclear,unclear,Unknown,0,22,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM035,02/04/2016,unclear,unclear,Unknown,6,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
