,matched_sort_Adm_1,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_1_ufi,matched_sort_Adm_1_adm1,matched_sort_Adm_1_full_name,matched_sort_Adm_1_full_nm_nd,matched_sort_Adm_1_lat_dd,matched_sort_Adm_1_long_dd,reviewed,options
0,BANAADIR,1,['10/08/2017'],[0],[1],[0],[0],[0],[0],[0],[0],-3216059,SO-BN,Banaadir,Banaadir,2.116667,45.4,,"[('BANADIR', 93, 2), ('BAY', 60, 15), ('SANAAG', 57, 1), ('BARI', 50, 16), ('NUGAAL', 43, 9)]"
1,BARI,2,"['01/06/2007', '14/04/2019']","[8, 1]","[12, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",-3216231,SO-BR,Bari,Bari,10,50,,"[('BARI', 100, 16), ('MIDDLEJUBA', 60, 11), ('BAY', 57, 15), ('BANADIR', 55, 2), ('BAKOOL', 45, 4)]"
2,BAY,7,"['31/01/2015', '05/09/2017', '09/11/2017', '21/11/2017', '30/11/2018', '08/01/2019', '05/02/2019']","[2, 3, 3, 100, 9, 6, 0]","[9, 3, 3, 100, 9, 6, 0]","[0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0]",-3216354,SO-BY,Bay,Bay,3,43.5,,"[('BAY', 100, 15), ('MIDDLEJUBA', 72, 11), ('LOWERJUBA', 72, 13), ('BANADIR', 60, 2), ('BAKOOL', 60, 4)]"
3,GALGUDUUD,2,"['01/05/2008', '01/04/2018']","[8, 6]","[15, 6]","[5, 2]","[10, 2]","[0, 1]","[0, 1]","[0, 0]","[0, 0]",-3221647,SO-GA,Galguduud,Galguduud,5,47,,"[('GALGADUUD', 89, 14), ('MUDUG', 54, 10), ('GEDO', 45, 5), ('WOQOOYIGALBEED', 45, 7), ('NUGAAL', 40, 9)]"
4,GEDO,3,"['12/03/2015', '15/07/2015', '15/07/2015']","[3, 2, 0]","[3, 3, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-3222209,SO-GE,Gedo,Gedo,3,42,,"[('GEDO', 100, 5), ('WOQOOYIGALBEED', 51, 7), ('TOGDHEER', 45, 3), ('GALGADUUD', 45, 14), ('SOOL', 25, 8)]"
5,HIIRAAN,6,"['29/11/2015', '05/03/2016', '30/01/2019', '24/02/2019', '25/02/2019', '28/02/2019']","[0, 150, 24, 35, 20, 26]","[0, 200, 24, 35, 20, 26]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",-3223979,SO-HI,Hiiraan,Hiiraan,4,45.5,,"[('HIIRAAN', 100, 0), ('AWDAL', 33, 17), ('SANAAG', 31, 1), ('NUGAAL', 31, 9), ('BAY', 30, 15)]"
6,JUBBADADHEXE,27,"['28/10/2013', '29/12/2014', '02/12/2015', '31/03/2016', '06/04/2016', '11/06/2017', '02/07/2017', '13/07/2017', '16/08/2017', '06/02/2018', '19/02/2018', '26/02/2018', '05/04/2018', '06/10/2018', '25/10/2018', '19/01/2019', '23/01/2019', '23/02/2019', '09/04/2019', '25/06/2019', '20/08/2019', '30/09/2019', '19/11/2019', '09/12/2019', '16/12/2019', '29/12/2019', '16/01/2020']","[2, 2, 3, 3, 8, 8, 1, 0, 7, 0, 3, 2, 3, 1, 2, 52, 0, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[3, 3, 3, 3, 8, 8, 1, 0, 7, 0, 3, 2, 3, 1, 2, 52, 0, 4, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-3224955,SO-JD,Jubbada Dhexe,Jubbada Dhexe,1.33333,42.66667,MIDDLEJUBA,"[('BAY', 60, 15), ('AWDAL', 54, 17), ('BANADIR', 51, 2), ('TOGDHEER', 48, 3), ('NUGAAL', 45, 9)]"
7,JUBBADAHOOSE,24,"['07/01/2007', '23/06/2011', '25/09/2011', '11/04/2016', '26/09/2016', '04/07/2017', '15/12/2017', '18/01/2018', '21/02/2018', '12/03/2018', '11/04/2018', '23/07/2018', '21/08/2018', '21/09/2018', '01/10/2018', '14/10/2018', '07/01/2019', '08/02/2019', '13/03/2019', '19/04/2019', '17/09/2019', '19/01/2020', '26/01/2020', '04/02/2020']","[8, 2, 0, 8, 4, 10, 8, 4, 4, 0, 0, 0, 2, 18, 9, 4, 4, 8, 3, 2, 2, 3, 0, 1]","[10, 2, 0, 12, 4, 13, 8, 4, 5, 0, 0, 0, 2, 18, 9, 4, 4, 8, 3, 2, 2, 3, 0, 1]","[2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-3224957,SO-JH,Jubbada Hoose,Jubbada Hoose,0,42,LOWERJUBA,"[('BAY', 60, 15), ('AWDAL', 54, 17), ('BAKOOL', 45, 4), ('GEDO', 45, 5), ('SOOL', 45, 8)]"
8,MUDUG,8,"['28/09/2016', '12/10/2018', '19/11/2018', '19/11/2018', '20/11/2018', '21/11/2018', '21/11/2018', '27/11/2018']","[10, 60, 27, 10, 7, 6, 0, 3]","[22, 60, 27, 10, 7, 6, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0]","[16, 0, 0, 0, 0, 0, 0, 0]",-3227383,SO-MU,Mudug,Mudug,7,48,,"[('MUDUG', 100, 10), ('MIDDLEJUBA', 40, 11), ('MIDDLESHEBELLE', 36, 6), ('NUGAAL', 36, 9), ('GALGADUUD', 36, 14)]"
9,SHABEELLAHADHEXE,2,"['18/01/2018', '13/03/2018']","[0, 12]","[5, 12]","[0, 0]","[0, 0]","[0, 0]","[5, 0]","[0, 15]","[6, 15]",-3229128,SO-SD,Shabeellaha Dhexe,Shabeellaha Dhexe,3,46,MIDDLESHEBELLE,"[('TOGDHEER', 48, 3), ('LOWERSHEBELLE', 48, 12), ('MIDDLESHEBELLE', 47, 6), ('BANADIR', 39, 2), ('SANAAG', 36, 1)]"
