Strike ID,Date,Loc,Adm_3,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
Ob158,07/11/2010,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,1,4
Ob159,11/11/2010,unclear,Ghulam Khan,North Waziristan,Khyber Pakhtunkhwa,5,8,0,0,0,0,5,6
Ob160,13/11/2010,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,4,4,0,4,0,0,1,1
Ob161,16/11/2010,unclear,Ghulam Khan,North Waziristan,Khyber Pakhtunkhwa,20,20,0,9,0,0,0,0
Ob162,19/11/2010,Norak,unclear,North Waziristan,Khyber Pakhtunkhwa,2,4,0,0,0,0,1,1
Ob163,21/11/2010,Khaddi,unclear,North Waziristan,Khyber Pakhtunkhwa,5,9,0,3,0,0,0,0
Ob164,22/11/2010,Khesoor,unclear,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,2,3
Ob165,26/11/2010,Pir Kelev,unclear,North Waziristan,Khyber Pakhtunkhwa,2,4,1,4,1,1,0,0
Ob166,28/11/2010,Hassan Khel,unclear,North Waziristan,Khyber Pakhtunkhwa,0,4,0,0,0,0,0,0
Ob167,06/12/2010,Khushali,unclear,North Waziristan,Khyber Pakhtunkhwa,3,5,0,2,0,0,3,3
Ob168,06/12/2010,Kushali,unclear,North Waziristan,Khyber Pakhtunkhwa,2,4,0,0,0,0,0,0
Ob169,10/12/2010,Khadar Khel,unclear,North Waziristan,Khyber Pakhtunkhwa,4,4,0,0,0,0,2,2
Ob170,14/12/2010,Spalaga,unclear,North Waziristan,Khyber Pakhtunkhwa,3,4,0,4,0,0,0,0
Ob171,16/12/2010,unclear,Unclear,Khyber,Khyber Pakhtunkhwa,7,7,0,0,0,0,0,0
Ob172,17/12/2010,unclear,Unclear,Khyber,Khyber Pakhtunkhwa,7,15,0,0,0,0,7,11
Ob173,17/12/2010,unclear,Unclear,Khyber,Khyber Pakhtunkhwa,11,15,0,0,0,0,2,2
Ob174,17/12/2010,unclear,Unclear,Khyber,Khyber Pakhtunkhwa,32,32,2,2,0,0,0,0
Ob175,27/12/2010,Shera Tala,unclear,North Waziristan,Khyber Pakhtunkhwa,18,22,0,0,0,0,0,0
Ob176,27/12/2010,Machi Khel,unclear,North Waziristan,Khyber Pakhtunkhwa,4,4,0,0,0,0,0,0
Ob177,28/12/2010,unclear,Ghulam Khan,North Waziristan,Khyber Pakhtunkhwa,5,7,0,0,0,0,2,2
Ob178,28/12/2010,unclear,Ghulam Khan,North Waziristan,Khyber Pakhtunkhwa,5,12,2,4,0,0,3,3
Ob179,28/12/2010,unclear,Ghulam Khan,North Waziristan,Khyber Pakhtunkhwa,9,10,0,0,0,0,6,6
Ob180,31/12/2010,unclear,Ghulam Khan,North Waziristan,Khyber Pakhtunkhwa,4,8,0,0,0,0,0,0
Ob181,01/01/2011,Mandi Khel,unclear,North Waziristan,Khyber Pakhtunkhwa,8,10,0,0,0,0,0,0
Ob182,01/01/2011,Mandi Khel,unclear,North Waziristan,Khyber Pakhtunkhwa,4,6,0,0,0,0,0,0
Ob183,01/01/2011,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,4,5,0,0,0,0,0,0
Ob184,01/01/2011,Boya,unclear,North Waziristan,Khyber Pakhtunkhwa,4,4,0,0,0,0,4,4
Ob185,07/01/2011,Ghar Laley,unclear,North Waziristan,Khyber Pakhtunkhwa,1,6,0,0,0,0,0,0
Ob186,12/01/2011,Haider Khel,unclear,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,2,15
Ob187,18/01/2011,unclear,unclear,North Waziristan,Khyber Pakhtunkhwa,3,7,0,0,0,0,3,3
Ob188,23/01/2011,Doga Mada Khel,unclear,North Waziristan,Khyber Pakhtunkhwa,2,5,0,0,0,0,0,0
Ob189,23/01/2011,Doga Mada Khel,unclear,North Waziristan,Khyber Pakhtunkhwa,2,3,0,0,0,0,0,0
Ob190,23/01/2011,unclear,Razmak,North Waziristan,Khyber Pakhtunkhwa,4,6,0,0,0,0,3,3
Ob191,20/02/2011,Kazha Punga area,Barmal,South Waziristan,Khyber Pakhtunkhwa,6,8,0,0,0,0,2,2
Ob192,21/02/2011,Malik Jashdar,unclear,North Waziristan,Khyber Pakhtunkhwa,7,14,0,11,0,0,10,10
Ob193,24/02/2011,Mohammad Khel,unclear,North Waziristan,Khyber Pakhtunkhwa,4,7,0,0,0,0,3,2
Ob194,08/03/2011,Landidog,unclear,South Waziristan,Khyber Pakhtunkhwa,2,5,0,5,0,0,2,2
Ob195,09/03/2011,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,5,5,0,0,0,0,2,3
Ob196,11/03/2011,Khesoor,unclear,North Waziristan,Khyber Pakhtunkhwa,4,12,5,5,0,0,0,0
Ob197,11/03/2011,Ghoroski,unclear,North Waziristan,Khyber Pakhtunkhwa,4,4,0,0,0,0,0,0
Ob198,13/03/2011,Azam Warsak,unclear,South Waziristan,Khyber Pakhtunkhwa,0,4,0,0,0,0,0,5
Ob199,13/03/2011,Qutab Khel,Miranshah,North Waziristan,Khyber Pakhtunkhwa,4,7,0,0,0,0,5,5
Ob200,14/03/2011,Malik Jashdar,unclear,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,0,0
Ob201,16/03/2011,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,3,5,0,0,0,0,0,0
Ob202,17/03/2011,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,26,42,19,41,0,1,9,14
Ob203,13/04/2011,unclear,unclear,South Waziristan,Khyber Pakhtunkhwa,4,7,0,7,0,0,6,10
Ob204,22/04/2011,unclear,Spinwam,North Waziristan,Khyber Pakhtunkhwa,20,26,5,9,3,5,5,10
Ob205,06/05/2011,Dwa Tooe,unclear,North Waziristan,Khyber Pakhtunkhwa,7,18,6,6,0,0,4,4
Ob206,10/05/2011,Angor Adda,unclear,South Waziristan,Khyber Pakhtunkhwa,3,5,0,0,0,0,4,4
Ob207,12/05/2011,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,5,8,0,0,0,0,1,1
Ob208,13/05/2011,Doga Mada Khel,unclear,North Waziristan,Khyber Pakhtunkhwa,3,5,0,0,0,0,0,0
Ob209,16/05/2011,Khushali Village,Mirali,North Waziristan,Khyber Pakhtunkhwa,4,10,0,0,0,0,2,4
Ob210,16/05/2011,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,0,0
Ob211,20/05/2011,Tappi,unclear,North Waziristan,Khyber Pakhtunkhwa,4,6,0,0,0,0,0,0
Ob212,23/05/2011,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,4,7,0,0,0,0,2,2
Ob213,03/06/2011,Ghwa Khwa,unclear,South Waziristan,Khyber Pakhtunkhwa,5,12,0,0,0,0,1,3
Ob214,06/06/2011,"Tigger, Toji Khel Wazir",unclear,South Waziristan,Khyber Pakhtunkhwa,7,9,0,0,0,0,2,2
Ob215,06/06/2011,Wacha Dana,unclear,South Waziristan,Khyber Pakhtunkhwa,8,10,0,7,0,0,3,3
Ob216,06/06/2011,Darnashtra,unclear,South Waziristan,Khyber Pakhtunkhwa,3,5,0,0,0,0,0,0
Ob217,08/06/2011,Zoynari,unclear,South Waziristan,Khyber Pakhtunkhwa,18,23,0,0,0,0,6,6
Ob218,08/06/2011,Shawal,unclear,South Waziristan,Khyber Pakhtunkhwa,4,4,0,0,0,0,0,0
Ob219,15/06/2011,unclear,Wana,South Waziristan,Khyber Pakhtunkhwa,2,10,0,0,0,0,2,2
Ob220,15/06/2011,Karez,unclear,South Waziristan,Khyber Pakhtunkhwa,0,0,0,0,0,0,0,0
Ob221,15/06/2011,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,5,6,5,6,0,0,0,0
Ob222,20/06/2011,Khardand,unclear,Kurram,Khyber Pakhtunkhwa,5,7,2,7,0,0,0,3
Ob223,20/06/2011,Zarakai,unclear,Kurram,Khyber Pakhtunkhwa,2,5,0,0,0,0,0,0
Ob224,27/06/2011,Shawal,unclear,South Waziristan,Khyber Pakhtunkhwa,6,12,0,0,0,0,0,0
Ob225,27/06/2011,Shakai,unclear,South Waziristan,Khyber Pakhtunkhwa,12,21,0,20,0,0,2,2
Ob226,05/07/2011,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,4,6,0,3,0,2,5,5
Ob227,11/07/2011,Gurwak,unclear,North Waziristan,Khyber Pakhtunkhwa,4,12,0,0,0,0,2,2
Ob228,12/07/2011,Gurwak,unclear,North Waziristan,Khyber Pakhtunkhwa,12,25,0,0,0,0,0,0
Ob229,12/07/2011,unclear,Barmal,South Waziristan,Khyber Pakhtunkhwa,5,13,0,0,0,0,3,5
Ob230,12/07/2011,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,13,15,0,4,0,0,0,0
Ob231,12/07/2011,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,1,9,1,1,0,0,3,5
Ob232,20/07/2011,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,4,4,0,0,0,0,2,2
Ob233,01/08/2011,Azam Warsak,unclear,South Waziristan,Khyber Pakhtunkhwa,3,6,0,6,0,0,2,7
Ob234,02/08/2011,Qutab Khel,unclear,North Waziristan,Khyber Pakhtunkhwa,3,4,0,0,0,0,0,0
Ob235,10/08/2011,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,8,25,0,0,0,0,3,8
Ob236,16/08/2011,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,2,7,3,4,1,1,2,2
Ob237,19/08/2011,Shin Warsak,unclear,South Waziristan,Khyber Pakhtunkhwa,3,4,0,0,0,0,2,2
Ob238,22/08/2011,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,3,7,0,4,0,0,3,3
Ob239,11/09/2011,Hisokhel,unclear,North Waziristan,Khyber Pakhtunkhwa,1,5,0,0,0,0,1,3
Ob240,23/09/2011,Khushali,unclear,North Waziristan,Khyber Pakhtunkhwa,3,8,0,0,0,0,3,4
Ob241,27/09/2011,Azam Warsak,unclear,South Waziristan,Khyber Pakhtunkhwa,0,4,0,0,0,0,0,2
Ob242,30/09/2011,Baghar,unclear,South Waziristan,Khyber Pakhtunkhwa,3,4,0,0,0,0,1,5
Ob243,13/10/2011,Danda Darpakhel,unclear,North Waziristan,Khyber Pakhtunkhwa,1,6,0,0,0,0,4,4
Ob244,13/10/2011,unclear,Barmal,South Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,3,3
Ob245,14/10/2011,Danda Darpakhel,unclear,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,0,0
Ob246,15/10/2011,Angor Adda,unclear,South Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,3,7
Ob247,26/10/2011,unclear,Barmal,South Waziristan,Khyber Pakhtunkhwa,13,22,0,0,0,0,6,6
Ob248,27/10/2011,Azam Warsak,unclear,South Waziristan,Khyber Pakhtunkhwa,4,6,0,0,0,0,3,4
Ob249,27/10/2011,Hisokhel,unclear,North Waziristan,Khyber Pakhtunkhwa,4,6,0,0,0,0,3,3
Ob250,30/10/2011,Khar Khama,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,4,6,4,4,0,0,2,3
Ob251,31/10/2011,Norak,unclear,North Waziristan,Khyber Pakhtunkhwa,2,4,2,2,2,2,3,3
Ob252,03/11/2011,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,2,3,0,0,0,0,3,3
Ob253,15/11/2011,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,3,7,0,0,0,0,2,4
Ob254,16/11/2011,Babar Ghar,unclear,South Waziristan,Khyber Pakhtunkhwa,4,22,0,0,0,0,6,12
Ob255,17/11/2011,Shawal,Miranshah,North Waziristan,Khyber Pakhtunkhwa,7,9,0,0,0,0,3,5
Ob256,10/01/2012,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,1,4,0,0,0,0,2,2
Ob257,12/01/2012,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,5,9,0,0,0,0,2,3
Ob258,23/01/2012,Deegan,unclear,North Waziristan,Khyber Pakhtunkhwa,2,5,0,0,0,0,1,3
