Strike ID,Date,Loc,Adm_3,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
Ob324,06/09/2013,Tabi,Ghulam Khan,North Waziristan,Khyber Pakhtunkhwa,5,7,0,0,0,0,3,7
Ob325,22/09/2013,unclear,Makin,South Waziristan,Khyber Pakhtunkhwa,6,7,0,0,0,0,2,4
Ob326,29/09/2013,Darga Mandi,unclear,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,1,3
Ob327,30/09/2013,Land Char Khel,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,1,4,0,0,0,0,2,4
Ob328,31/10/2013,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,0,5,0,0,0,0,3,3
Ob329,01/11/2013,Dandi Darpakhel,unclear,North Waziristan,Khyber Pakhtunkhwa,4,7,0,0,0,0,2,2
Ob330,21/11/2013,unclear,Tal,Hangu,Khyber Pakhtunkhwa,6,9,0,0,0,0,1,9
Ob331,29/11/2013,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,2,3,0,0,0,0,1,2
Ob332,25/12/2013,Qutab Khel,Miranshah,North Waziristan,Khyber Pakhtunkhwa,3,4,0,0,0,0,1,1
Ob333,11/06/2014,unclear,unclear,North Waziristan,Khyber Pakhtunkhwa,4,6,0,0,0,0,0,0
Ob334,12/06/2014,unclear,unclear,North Waziristan,Khyber Pakhtunkhwa,6,10,0,0,0,0,4,4
Ob335,18/06/2014,unclear,unclear,North Waziristan,Khyber Pakhtunkhwa,4,8,0,0,0,0,2,4
Ob336,10/07/2014,Madakhel village,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,6,7,0,0,0,0,2,3
Ob337,16/07/2014,Saidgai,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,15,24,0,0,0,0,4,6
Ob338,19/07/2014,Doga Madakhel,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,11,15,0,0,0,0,0,0
Ob339,05/08/2014,Lawara Mandi village,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,5,7,0,0,0,0,2,3
Ob340,24/09/2014,Lwara Mandai,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,5,11,0,0,0,0,0,0
Ob341,28/09/2014,unclear,Wana,South Waziristan,Khyber Pakhtunkhwa,2,4,0,0,0,0,1,4
Ob342,05/10/2014,Shawal,unclear,South Waziristan,Khyber Pakhtunkhwa,4,5,0,0,0,0,2,3
Ob343,06/10/2014,Shawal,unclear,South Waziristan,Khyber Pakhtunkhwa,4,8,0,0,0,0,4,6
Ob344,07/10/2014,Shawal,unclear,South Waziristan,Khyber Pakhtunkhwa,4,7,0,0,0,0,5,11
Ob345,07/10/2014,Kundser,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,2,4,0,0,0,0,5,5
Ob346,08/10/2014,Loman,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,2,4,0,0,0,0,1,3
Ob347,09/10/2014,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,3,4,0,0,0,0,0,0
Ob348,11/10/2014,unclear,Unclear,Khyber,Khyber Pakhtunkhwa,4,6,0,0,0,0,2,2
Ob349,11/10/2014,"Marga, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,2,4,0,0,0,0,0,0
Ob350,30/10/2014,Azam Warsak,unclear,South Waziristan,Khyber Pakhtunkhwa,4,7,0,0,0,0,2,2
Ob351,11/11/2014,Dawa Toi,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,4,7,0,2,0,2,2,3
Ob352,20/11/2014,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,5,8,0,0,0,0,2,3
Ob353,26/11/2014,"Garga, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,4,9,0,0,0,0,2,3
Ob354,07/12/2014,Khar Tangi,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,4,6,0,0,0,0,2,2
Ob355,20/12/2014,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,4,6,0,0,0,0,0,0
Ob356,26/12/2014,"Kund/Kundghar village, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,4,5,0,0,0,0,0,0
Ob357,26/12/2014,"Kund/Kundghar village, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,3,4,0,0,0,0,0,0
Ob358,04/01/2015,Lwara Mandai,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,6,10,0,0,0,0,0,0
Ob359,15/01/2015,Shawal,Miranshah,North Waziristan,Khyber Pakhtunkhwa,5,7,2,2,0,0,0,0
Ob360,15/01/2015,unclear,Ladha,South Waziristan,Khyber Pakhtunkhwa,4,7,0,0,0,0,3,4
Ob361,19/01/2015,"Shahi Khel, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,5,7,0,0,0,0,4,6
Ob362,28/01/2015,Shawal,Miranshah,North Waziristan,Khyber Pakhtunkhwa,6,7,0,0,0,0,2,4
Ob363,18/03/2015,Shabak,unclear,Kurram,Khyber Pakhtunkhwa,3,3,0,0,0,0,0,0
Ob364,12/04/2015,Shawal,Miranshah,North Waziristan,Khyber Pakhtunkhwa,4,4,0,0,0,0,2,2
Ob365,16/05/2015,"Wara Mandi, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,4,7,0,0,0,0,2,2
Ob366,18/05/2015,"Zoy Nari, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,2,3
Ob367,01/06/2015,Shawal,Miranshah,North Waziristan,Khyber Pakhtunkhwa,4,5,0,0,0,0,0,0
Ob368,06/06/2015,unclear,unclear,North Waziristan,Khyber Pakhtunkhwa,7,9,0,3,0,0,4,4
Ob369,06/08/2015,Lwara Mandai,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,4,7,0,0,0,0,2,3
Ob370,01/09/2015,unclear,unclear,North Waziristan,Khyber Pakhtunkhwa,5,6,0,0,0,0,4,4
Ob371,09/01/2016,Mangrooti village,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,5,5,0,0,0,0,2,2
Ob372,22/02/2016,unclear,unclear,Kurram,Khyber Pakhtunkhwa,4,5,0,0,0,0,1,4
Ob373,21/05/2016,Ahmad Wal,unclear,Chagai,Balochistan,2,2,1,1,0,0,0,0
T001,02/03/2017,unclear,unclear,Kurram,Khyber Pakhtunkhwa,2,2,0,0,0,0,0,0
T002,26/04/2017,Zuwai,unclear,North Waziristan,Khyber Pakhtunkhwa,7,11,0,3,0,0,0,0
T003,24/05/2017,unclear,unclear,North Waziristan,Khyber Pakhtunkhwa,2,3,0,0,0,0,0,0
T004,13/06/2017,unclear,unclear,Hangu,Khyber Pakhtunkhwa,1,3,0,0,0,0,0,3
T005,15/09/2017,Ghuz Ghari,Upper Kurram,Kurram,Khyber Pakhtunkhwa,3,3,0,0,0,0,1,2
T006,24/01/2018,unclear,unclear,unclear,unclear,1,3,0,0,0,0,0,0
