Strike ID,Date,Loc,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
YEM072,16/05/2012,unclear,MUDIYAH,Abyan,16,16,0,0,0,0,5,14
YEM073,17/05/2012,Shibam,unclear,Hadramawt,2,3,0,0,0,0,0,2
YEM074,17/05/2012,Shaqra,unclear,Abyan,5,6,0,2,0,0,0,0
YEM075,19/05/2012,Jaar,Khanfir,Abyan,3,5,0,0,0,0,0,0
YEM076,19/05/2012,unclear,unclear,ALBAYDA,2,2,0,0,0,0,0,0
YEM077,20/05/2012,Jaar,Khanfir,Abyan,0,9,0,0,0,0,0,0
YEM078,28/05/2012,Manaseh,unclear,ALBAYDA,3,5,0,2,0,0,4,4
YEM079,28/05/2012,Mukalla,unclear,Abyan,5,5,0,0,0,0,0,0
YEM080,01/06/2012,unclear,Al Mahfid,Abyan,11,12,0,0,0,0,0,0
YEM081,07/06/2012,unclear,MUDIYAH,Abyan,2,2,0,0,0,0,7,7
YEM082,07/06/2012,Jaar,Khanfir,Abyan,3,3,0,0,0,0,0,0
YEM083,07/06/2012,Jaar,Khanfir,Abyan,5,5,0,0,0,0,3,3
YEM084,11/06/2012,Azzan,unclear,Shabwah,16,16,0,0,0,0,0,0
YEM085,13/06/2012,Jaar,Khanfir,Abyan,10,18,0,0,0,0,1,1
YEM086,13/06/2012,Azzan,unclear,Shabwah,9,9,0,0,0,0,0,0
YEM087,15/06/2012,Azzan,unclear,Shabwah,5,5,0,0,0,0,2,2
YEM088,15/06/2012,Shaqra,unclear,Abyan,5,7,5,7,4,6,4,5
YEM089,19/06/2012,unclear,unclear,Shabwah,3,3,0,0,0,0,0,0
YEM090,20/06/2012,unclear,Al Mahfid,Abyan,1,1,1,1,0,0,0,0
YEM091,20/06/2012,Al Yafea,unclear,ALBAYDA,5,30,0,0,0,0,6,6
YEM092,25/06/2012,unclear,Al Mahfid,Abyan,3,3,0,0,0,0,0,0
YEM093,03/07/2012,unclear,Bayhan,Shabwah,2,5,0,0,0,0,2,2
YEM094,04/07/2012,unclear,Al Mahfid,Abyan,3,13,0,0,0,0,7,7
YEM095,23/07/2012,unclear,Al Mahfid,Abyan,5,5,0,0,0,0,0,0
YEM096,04/08/2012,unclear,Al Qatn,Hadramawt,3,5,0,0,0,0,2,2
YEM097,06/08/2012,unclear,Rada,ALBAYDA,7,7,0,0,0,0,0,0
YEM098,07/08/2012,unclear,Al Qatn,Hadramawt,2,3,0,0,0,0,2,2
YEM099,28/08/2012,Qahb al-Hisan,unclear,Hadramawt,2,3,0,0,0,0,0,0
YEM100,29/08/2012,unclear,Al Qatn,Hadramawt,5,5,2,2,0,0,0,0
YEM101,31/08/2012,Hawda,unclear,Hadramawt,8,8,0,0,0,0,0,0
YEM102,02/09/2012,unclear,Rada,ALBAYDA,12,12,12,12,3,3,4,11
YEM103,05/09/2012,unclear,unclear,unclear,4,6,1,4,0,0,3,3
YEM104,10/09/2012,unclear,unclear,unclear,6,15,0,0,0,0,3,3
YEM105,20/09/2012,unclear,Al Mahfid,Abyan,2,4,0,0,0,0,3,3
YEM106,04/10/2012,unclear,As Said,Shabwah,3,6,0,0,0,0,2,4
YEM107,18/10/2012,Khanfir,Khanfir,Abyan,7,9,0,0,0,0,0,0
YEM108,21/10/2012,unclear,Marib,Marib,4,4,0,0,0,0,0,0
YEM109,28/10/2012,Wadi al Abu Jabara,unclear,Sada,4,4,0,0,0,0,1,1
YEM110,07/11/2012,Beit al Ahan,unclear,Sana,2,2,0,0,0,0,2,3
YEM111,24/12/2012,Manaseh,unclear,ALBAYDA,2,3,0,0,0,0,3,3
YEM112,24/12/2012,Shehr,unclear,Hadramawt,3,7,0,0,0,0,1,1
YEM113,28/12/2012,Shehr,unclear,Hadramawt,2,3,0,0,0,0,0,1
YEM114,29/12/2012,Manaseh,unclear,ALBAYDA,3,4,0,0,0,0,0,2
YEM115,01/01/2013,unclear,unclear,Shabwah,1,1,0,0,0,0,0,0
YEM116,04/01/2013,unclear,Rada,ALBAYDA,3,3,0,0,0,0,0,0
YEM117,19/01/2013,Wadi Abida,unclear,Marib,0,0,0,0,0,0,0,0
YEM118,19/01/2013,Wadi Abida,unclear,Marib,2,4,0,3,0,0,0,0
YEM119,19/01/2013,Wadi Abida,unclear,Marib,4,6,0,4,0,0,0,0
YEM120,20/01/2013,Al Kanais,unclear,Marib,3,3,0,0,0,0,0,0
YEM121,21/01/2013,Nakhla,unclear,Marib,2,4,0,0,0,0,2,2
YEM122,22/01/2013,Al Boka,unclear,Jawf,3,5,0,0,0,0,0,0
YEM123,23/01/2013,unclear,Khawlan,Sana,4,4,2,2,0,0,0,0
YEM124,23/01/2013,Qayfa,unclear,ALBAYDA,3,5,0,0,0,0,0,0
