Strike ID,Date,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Adm_3
Ob314,10/03/2013,Datta Khel,North Waziristan,1,3,0,0,0,0,1,1,Unknown
Ob315,22/03/2013,"New Adda, Tehsil Datta Khel",North Waziristan,1,4,0,0,0,0,1,1,Unknown
Ob316,14/04/2013,Datta Khel,North Waziristan,4,6,0,0,0,0,2,2,Unknown
Ob317,17/04/2013,"Pobar, Tehsil Ladha",South Waziristan,4,6,0,0,0,0,2,7,Unknown
Ob318,29/05/2013,"Qazi Kot, Tehsil Miranshah",North Waziristan,3,7,0,0,0,0,1,4,Unknown
Ob319,07/06/2013,"Shui Khel Mandi, Tehsil Shawal",North Waziristan,7,11,0,0,0,0,3,4,Unknown
Ob320,03/07/2013,"Shui Khel Mandi, Tehsil Shawal",North Waziristan,16,18,0,0,0,0,5,5,Unknown
Ob321,13/07/2013,Khray Chila Mossaki area of Mir Ali,North Waziristan,2,3,0,0,0,0,0,0,Unknown
Ob322,28/07/2013,"Zoi Nair, Tehsil Shawal",North Waziristan,5,8,0,0,0,0,2,4,Unknown
Ob323,31/08/2013,"Mossaki, Tehsil Mir Ali",North Waziristan,3,4,0,0,0,0,1,3,Unknown
Ob324,06/09/2013,"Tabi, Tehsil Ghulam Khan",North Waziristan,5,7,0,0,0,0,3,7,Unknown
Ob325,22/09/2013,"ShawalPalgai area, Thesil Makin",North/South Waziristan,6,7,0,0,0,0,2,4,Unknown
Ob326,29/09/2013,Darga Mandi,North Waziristan,3,6,0,0,0,0,1,3,Unknown
Ob327,30/09/2013,"Land Char Khel, Tehsil Datta Khel",North Waziristan,1,4,0,0,0,0,2,4,Unknown
Ob328,31/10/2013,Miranshah,North Waziristan,0,5,0,0,0,0,3,3,Unknown
Ob329,01/11/2013,Dandi Darpakhel,North Waziristan,4,7,0,0,0,0,2,2,Unknown
Ob330,21/11/2013,"Tal, Hangu District",Khyber Pakhtunkhwa province,6,9,0,0,0,0,1,9,Unknown
Ob331,29/11/2013,Miranshah,North Waziristan,2,3,0,0,0,0,1,2,Unknown
Ob332,25/12/2013,"Qutab Khel, Miranshah",North Waziristan,3,4,0,0,0,0,1,1,Unknown
Ob333,11/06/2014,Tabi Tolkhel or Darga Mandi,North Waziristan,4,6,0,0,0,0,0,0,Unknown
Ob334,12/06/2014,"Darga Mandi, Dande Darpakhel or Ghulam Khan",North Waziristan,6,10,0,0,0,0,4,4,Unknown
Ob335,18/06/2014,"Darga Mandi, Dande Darpakhel or Miranshah",North Waziristan,4,8,0,0,0,0,2,4,Unknown
Ob336,10/07/2014,"Madakhel village, Datta Khel Tehsil",North Waziristan,6,7,0,0,0,0,2,3,Unknown
Ob337,16/07/2014,"Saidgai, Datta Khel tehsil",North Waziristan,15,24,0,0,0,0,4,6,Unknown
Ob338,19/07/2014,"Doga Madakhel, Datta Khel tehsil",North Waziristan,11,15,0,0,0,0,0,0,Unknown
Ob339,05/08/2014,"Lawara Mandi village, Datta Khel tehsil",North Waziristan,5,7,0,0,0,0,2,3,Unknown
Ob340,24/09/2014,"Alwara Mandi village, Datta Khel tehsil",North Waziristan,5,11,0,0,0,0,0,0,Unknown
Ob341,28/09/2014,Wana,South Waziristan,2,4,0,0,0,0,1,4,Unknown
Ob342,05/10/2014,"Kundhgar, Shawal",South Waziristan,4,5,0,0,0,0,2,3,Unknown
Ob343,06/10/2014,"Mangrotai, Shawal",South Waziristan,4,8,0,0,0,0,4,6,Unknown
Ob344,07/10/2014,"Kundhgar, Shawal",South Waziristan,4,7,0,0,0,0,5,11,Unknown
Ob345,07/10/2014,"Kundser, Datta Khel",North Waziristan,2,4,0,0,0,0,5,5,Unknown
Ob346,08/10/2014,"Loman, Datta Khel",North Waziristan,2,4,0,0,0,0,1,3,Unknown
Ob347,09/10/2014,Datta Khel,North Waziristan,3,4,0,0,0,0,0,0,Unknown
Ob348,11/10/2014,Tirah Valley,Khyber Agency,4,6,0,0,0,0,2,2,Unknown
Ob349,11/10/2014,"Marga, Shawal",North Waziristan,2,4,0,0,0,0,0,0,Unknown
Ob350,30/10/2014,"Nargas village, Azam Warsak",South Waziristan,4,7,0,0,0,0,2,2,Unknown
Ob351,11/11/2014,"Dawa Toi, Datta Khel",North Waziristan,4,7,0,2,0,2,2,3,Unknown
Ob352,20/11/2014,Datta Khel,North Waziristan,5,8,0,0,0,0,2,3,Unknown
Ob353,26/11/2014,"Garga, Shawal",North Waziristan,4,9,0,0,0,0,2,3,Unknown
Ob354,07/12/2014,"Khar Tangi, Datta Khel",North Waziristan,4,6,0,0,0,0,2,2,Unknown
Ob355,20/12/2014,Datta Khel,North Waziristan,4,6,0,0,0,0,0,0,Unknown
Ob356,26/12/2014,"Kund/Kundghar village, Shawal",North Waziristan,4,5,0,0,0,0,0,0,Unknown
Ob357,26/12/2014,"Kund/Kundghar village, Shawal",North Waziristan,3,4,0,0,0,0,0,0,Unknown
Ob358,04/01/2015,"Alwara Mandi, Datta Khel or Shawal",North Waziristan,6,10,0,0,0,0,0,0,Unknown
Ob359,15/01/2015,Shawal,North Waziristan,5,7,2,2,0,0,0,0,Unknown
Ob360,15/01/2015,Ladha district,South Waziristan,4,7,0,0,0,0,3,4,Unknown
Ob361,19/01/2015,"Shahi Khel, Shawal",North Waziristan,5,7,0,0,0,0,4,6,Unknown
Ob362,28/01/2015,Shawal,North Waziristan,6,7,0,0,0,0,2,4,Unknown
Ob363,18/03/2015,Shabak,Kurram Agency,3,3,0,0,0,0,0,0,Unknown
Ob364,12/04/2015,Shawal,North Waziristan,4,4,0,0,0,0,2,2,Unknown
Ob365,16/05/2015,"Wara Mandi, Shawal",North Waziristan,4,7,0,0,0,0,2,2,Unknown
Ob366,18/05/2015,"Zoy Nari, Shawal",North Waziristan,3,6,0,0,0,0,2,3,Unknown
Ob367,01/06/2015,Shawal,North Waziristan,4,5,0,0,0,0,0,0,Unknown
Ob368,06/06/2015,Shawal or Datta Khel,North Waziristan,7,9,0,3,0,0,4,4,Unknown
Ob369,06/08/2015,"Alwara Mandi area, Datta Khel",North Waziristan,4,7,0,0,0,0,2,3,Unknown
Ob370,01/09/2015,"Karwanda village, Manzarkhel area, Dattakhel sub-division or Lawara Banga area of Shawal valley",North Waziristan,5,6,0,0,0,0,4,4,Unknown
Ob371,09/01/2016,"Mangrooti village, Shawal valley, Datta Khel tehsil",North Waziristan,5,5,0,0,0,0,2,2,Unknown
Ob372,22/02/2016,"Shahidano Dhand, Lower Kurram",Kurram Agency,4,5,0,0,0,0,1,4,Unknown
Ob373,21/05/2016,Ahmad Wal,Balochistan,2,2,1,1,0,0,0,0,Unknown
T001,02/03/2017,Unknown,Kurram Agency,2,2,0,0,0,0,0,0,Unknown
T002,26/04/2017,Zuwai,North Waziristan,7,11,0,3,0,0,0,0,Unknown
T003,24/05/2017,Unknown,North Waziristan,2,3,0,0,0,0,0,0,Unknown
T004,13/06/2017,Hangu district,Khyber Pakhtunkhwa province,1,3,0,0,0,0,0,3,Unknown
T005,15/09/2017,Ghuz Ghari village,Kurram Agency,3,3,0,0,0,0,1,2,Unknown
T006,24/01/2018,Unclear ,Unclear ,1,3,0,0,0,0,0,0,Unknown
