Strike ID,Date,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Adm_3
Ob89,03/05/2010,Machi Khel,North Waziristan,4,6,0,2,0,0,0,0,Unknown
Ob90,09/05/2010,Datta Khel,North Waziristan,5,10,0,4,0,0,4,4,Unknown
Ob91,11/05/2010,Datta Khel,North Waziristan,8,14,0,4,0,0,12,12,Unknown
Ob92,11/05/2010,Gurwak,North Waziristan,7,15,0,0,0,0,4,4,Unknown
Ob93,15/05/2010,Khyber,Khyber Agency,5,15,0,2,0,0,15,15,Unknown
Ob94,21/05/2010,Boya,North Waziristan,11,11,10,10,7,7,7,10,Unknown
Ob95,28/05/2010,Mizai Nari,South Waziristan,8,12,0,11,0,0,4,4,Unknown
Ob96,10/06/2010,Norak,North Waziristan,2,7,4,4,0,0,3,3,Unknown
Ob97,11/06/2010,Maizer,North Waziristan,10,15,0,0,0,0,10,12,Unknown
Ob98,19/06/2010,Haider Khel,North Waziristan,16,17,0,0,0,0,10,18,Unknown
Ob99,26/06/2010,Khushali,North Waziristan,2,4,0,0,0,0,1,3,Unknown
Ob100,27/06/2010,Tabbi,North Waziristan,5,6,0,0,0,0,4,4,Unknown
Ob101,29/06/2010,Kari Kot,South Waziristan,7,10,0,0,0,0,1,4,Unknown
Ob102,15/07/2010,Sheerani,North Waziristan,9,14,0,7,0,0,3,3,Unknown
Ob103,24/07/2010,Dwasarak,South Waziristan,16,18,0,0,0,0,24,24,Unknown
Ob104,25/07/2010,Shaktoi,North Waziristan,14,32,0,0,0,0,7,12,Unknown
Ob105,25/07/2010,Tabbi,North Waziristan,4,12,0,0,0,0,2,4,Unknown
Ob106,25/07/2010,Sararogha,South Waziristan,4,4,0,0,0,0,5,5,Unknown
Ob107,14/08/2010,Issori,North Waziristan,13,14,7,7,1,1,5,6,Unknown
Ob108,21/08/2010,Qutab Khel,North Waziristan,4,6,0,4,0,0,2,2,Unknown
Ob109,23/08/2010,Danda Darpakhel,North Waziristan,20,20,7,9,3,3,15,15,Unknown
Ob110,23/08/2010,Darga Mandi,North Waziristan,5,7,0,0,0,0,3,12,Unknown
Ob111,27/08/2010,Shahidano,Kurram Agency,3,9,0,0,0,0,2,2,Unknown
Ob112,27/08/2010,Badshah Kot,Kurram Agency,0,0,0,0,0,0,0,0,Unknown
Ob113,27/08/2010,Taaloo Ganj,Kurram Agency,2,3,0,3,0,0,0,0,Unknown
Ob114,03/09/2010,Miram Shah,North Waziristan,6,9,0,0,0,0,2,3,Unknown
Ob115,03/09/2010,Datta Khel,North Waziristan,2,4,0,0,0,0,2,2,Unknown
Ob116,04/09/2010,Datta Khel,North Waziristan,7,8,0,0,0,0,12,12,Unknown
Ob117,06/09/2010,Khar Qamar,North Waziristan,3,6,0,0,0,0,1,1,Unknown
Ob118,08/09/2010,Danda Darpakhel,North Waziristan,5,10,4,4,4,4,2,2,Unknown
Ob119,08/09/2010,Ambar Shaga,North Waziristan,3,4,0,4,0,0,1,2,Unknown
Ob120,08/09/2010,Danda Darpakhel,North Waziristan,10,10,0,0,0,0,2,5,Unknown
Ob121,09/09/2010,Miram Shah,North Waziristan,3,6,0,0,0,0,3,5,Unknown
Ob122,12/09/2010,Newey Adda,North Waziristan,5,7,0,0,0,0,2,3,Unknown
Ob123,14/09/2010,Bushnarai,North Waziristan,11,12,0,0,0,0,4,4,Unknown
Ob124,14/09/2010,Qutab Khel,North Waziristan,1,4,0,0,0,0,4,4,Unknown
Ob125,15/09/2010,Darga Mandi,North Waziristan,11,15,5,5,0,0,1,5,Unknown
Ob126,15/09/2010,Pai Khel,North Waziristan,4,7,0,0,0,0,3,3,Unknown
Ob127,19/09/2010,Deegan,North Waziristan,3,9,5,5,0,0,0,0,Unknown
Ob128,20/09/2010,Darazinda,North Waziristan,3,6,0,3,0,0,0,0,Unknown
Ob129,21/09/2010,Khand Morsak,South Waziristan,7,8,0,0,0,0,4,5,Unknown
Ob130,21/09/2010,Azam Warsak,South Waziristan,0,16,0,0,0,0,0,0,Unknown
Ob131,25/09/2010,Datta Khel,North Waziristan,2,4,0,0,0,0,0,0,Unknown
Ob132,26/09/2010,Lawra Mandi,North Waziristan,4,5,0,0,0,0,2,2,Unknown
Ob133,26/09/2010,Miram Shah,North Waziristan,3,5,0,0,0,0,1,2,Unknown
Ob134,26/09/2010,Sheerani,North Waziristan,2,3,0,0,0,0,0,0,Unknown
Ob135,27/09/2010,Khushali,North Waziristan,3,4,0,0,0,0,0,0,Unknown
Ob136,28/09/2010,Zeba,South Waziristan,4,4,0,0,0,0,2,2,Unknown
Ob137,02/10/2010,Asar Village,North Waziristan,8,10,0,0,0,0,2,4,Unknown
Ob138,02/10/2010,Inzarkas,North Waziristan,7,14,0,0,0,0,2,2,Unknown
Ob139,04/10/2010,Mir Ali,North Waziristan,5,9,0,3,0,0,2,2,Unknown
Ob140,06/10/2010,Miram Shah,North Waziristan,5,11,0,0,0,0,4,4,Unknown
Ob141,06/10/2010,Hurmuz,North Waziristan,3,5,0,0,0,0,3,3,Unknown
Ob142,07/10/2010,Khaisoori,North Waziristan,4,4,0,0,0,0,2,2,Unknown
Ob143,08/10/2010,Mohammad Khel,North Waziristan,4,6,0,0,0,0,0,0,Unknown
Ob144,08/10/2010,Char Khel,North Waziristan,5,8,0,4,0,0,0,0,Unknown
Ob145,10/10/2010,Shiva,North Waziristan,4,9,0,0,0,0,3,3,Unknown
Ob146,13/10/2010,Datta Khel,North Waziristan,6,14,3,6,0,0,0,0,Unknown
Ob147,15/10/2010,Aziz Khel,North Waziristan,4,6,0,0,0,0,3,3,Unknown
Ob148,15/10/2010,Machi Khel,North Waziristan,3,5,0,0,0,0,0,0,Unknown
Ob149,18/10/2010,Datta Khel,North Waziristan,6,7,1,1,1,1,1,6,Unknown
Ob150,27/10/2010,Mir Ali,North Waziristan,2,5,0,0,0,0,1,1,Unknown
Ob151,27/10/2010,Deegan,North Waziristan,2,4,0,0,0,0,1,1,Unknown
Ob152,28/10/2010,Ismail Khel,North Waziristan,4,8,0,4,0,0,0,0,Unknown
Ob153,01/11/2010,Haider Khel,North Waziristan,5,6,0,0,0,0,2,2,Unknown
Ob154,03/11/2010,Qutab Khel,North Waziristan,4,5,0,0,0,0,0,0,Unknown
Ob155,03/11/2010,Khaso Khel,North Waziristan,4,5,0,0,0,0,0,0,Unknown
Ob156,03/11/2010,Pai Khel,North Waziristan,4,5,0,0,0,0,0,0,Unknown
Ob157,07/11/2010,Ghulam Khan,North Waziristan,8,9,0,0,0,0,2,2,Unknown
Ob158,07/11/2010,Datta Khel,North Waziristan,3,6,0,0,0,0,1,4,Unknown
Ob159,11/11/2010,Ghulam Khan,North Waziristan,5,8,0,0,0,0,5,6,Unknown
Ob160,13/11/2010,Miram Shah,North Waziristan,4,4,0,4,0,0,1,1,Unknown
Ob161,16/11/2010,Ghulam Khan,North Waziristan,20,20,0,9,0,0,0,0,Unknown
Ob162,19/11/2010,Norak,North Waziristan,2,4,0,0,0,0,1,1,Unknown
Ob163,21/11/2010,Khaddi,North Waziristan,5,9,0,3,0,0,0,0,Unknown
Ob164,22/11/2010,Khesoor,North Waziristan,3,6,0,0,0,0,2,3,Unknown
Ob165,26/11/2010,Pir Kelev,North Waziristan,2,4,1,4,1,1,0,0,Unknown
Ob166,28/11/2010,Hassan Khel,North Waziristan,0,4,0,0,0,0,0,0,Unknown
Ob167,06/12/2010,Khushali,North Waziristan,3,5,0,2,0,0,3,3,Unknown
Ob168,06/12/2010,Kushali,North Waziristan,2,4,0,0,0,0,0,0,Unknown
Ob169,10/12/2010,Khadar Khel,North Waziristan,4,4,0,0,0,0,2,2,Unknown
Ob170,14/12/2010,Spalaga,North Waziristan,3,4,0,4,0,0,0,0,Unknown
Ob171,16/12/2010,Tirah Valley,Khyber Agency,7,7,0,0,0,0,0,0,Unknown
Ob172,17/12/2010,Sandana,Khyber Agency,7,15,0,0,0,0,7,11,Unknown
Ob173,17/12/2010,Nakai,Khyber Agency,11,15,0,0,0,0,2,2,Unknown
Ob174,17/12/2010,Speen Drang,Khyber Agency,32,32,2,2,0,0,0,0,Unknown
Ob175,27/12/2010,Shera Tala,North Waziristan,18,22,0,0,0,0,0,0,Unknown
Ob176,27/12/2010,Machi Khel,North Waziristan,4,4,0,0,0,0,0,0,Unknown
Ob177,28/12/2010,Ghulam Khan,North Waziristan,5,7,0,0,0,0,2,2,Unknown
Ob178,28/12/2010,Ghulam Khan,North Waziristan,5,12,2,4,0,0,3,3,Unknown
Ob179,28/12/2010,Ghulam Khan,North Waziristan,9,10,0,0,0,0,6,6,Unknown
Ob180,31/12/2010,Ghulam Khan,North Waziristan,4,8,0,0,0,0,0,0,Unknown
Ob181,01/01/2011,Mandi Khel,North Waziristan,8,10,0,0,0,0,0,0,Unknown
Ob182,01/01/2011,Mandi Khel,North Waziristan,4,6,0,0,0,0,0,0,Unknown
Ob183,01/01/2011,Datta Khel,North Waziristan,4,5,0,0,0,0,0,0,Unknown
Ob184,01/01/2011,Boya,North Waziristan,4,4,0,0,0,0,4,4,Unknown
Ob185,07/01/2011,Ghar Laley,North Waziristan,1,6,0,0,0,0,0,0,Unknown
Ob186,12/01/2011,Haider Khel,North Waziristan,3,6,0,0,0,0,2,15,Unknown
Ob187,18/01/2011,"Assar Madd Khel, Datta Khel",North Waziristan,3,7,0,0,0,0,3,3,Unknown
Ob188,23/01/2011,Doga Mada Khel,North Waziristan,2,5,0,0,0,0,0,0,Unknown
Ob189,23/01/2011,Doga Mada Khel,North Waziristan,2,3,0,0,0,0,0,0,Unknown
Ob190,23/01/2011,Razmak,North Waziristan,4,6,0,0,0,0,3,3,Unknown
Ob191,20/02/2011,"Kazha Punga area, Tehsil Birmal",South Waziristan,6,8,0,0,0,0,2,2,Unknown
Ob192,21/02/2011,Malik Jashdar,North Waziristan,7,14,0,11,0,0,10,10,Unknown
Ob193,24/02/2011,Mohammad Khel,North Waziristan,4,7,0,0,0,0,3,2,Unknown
Ob194,08/03/2011,Landidog,South Waziristan,2,5,0,5,0,0,2,2,Unknown
Ob195,09/03/2011,Datta Khel,North Waziristan,5,5,0,0,0,0,2,3,Unknown
Ob196,11/03/2011,Khesoor,North Waziristan,4,12,5,5,0,0,0,0,Unknown
Ob197,11/03/2011,Ghoroski,North Waziristan,4,4,0,0,0,0,0,0,Unknown
Ob198,13/03/2011,Azam Warsak,South Waziristan,0,4,0,0,0,0,0,5,Unknown
Ob199,13/03/2011,"Ishar Morr area, Qutab Khel, Miranshah",North Waziristan,4,7,0,0,0,0,5,5,Unknown
Ob200,14/03/2011,Malik Jashdar,North Waziristan,3,6,0,0,0,0,0,0,Unknown
Ob201,16/03/2011,Datta Khel,North Waziristan,3,5,0,0,0,0,0,0,Unknown
Ob202,17/03/2011,Datta Khel,North Waziristan,26,42,19,41,0,1,9,14,Unknown
Ob203,13/04/2011,Angor Adda,South Waziristan,4,7,0,7,0,0,6,10,Unknown
Ob204,22/04/2011,Spinwan,North Waziristan,20,26,5,9,3,5,5,10,Unknown
Ob205,06/05/2011,Dwa Tooe,North Waziristan,7,18,6,6,0,0,4,4,Unknown
Ob206,10/05/2011,Angor Adda,South Waziristan,3,5,0,0,0,0,4,4,Unknown
Ob207,12/05/2011,Datta Khel,North Waziristan,5,8,0,0,0,0,1,1,Unknown
Ob208,13/05/2011,Doga Mada Khel,North Waziristan,3,5,0,0,0,0,0,0,Unknown
Ob209,16/05/2011,"Khushali Village, Mir Ail",North Waziristan,4,10,0,0,0,0,2,4,Unknown
Ob210,16/05/2011,"Khisoor Village, Mir Ali",North Waziristan,3,6,0,0,0,0,0,0,Unknown
Ob211,20/05/2011,Tappi,North Waziristan,4,6,0,0,0,0,0,0,Unknown
Ob212,23/05/2011,Mir Ali,North Waziristan,4,7,0,0,0,0,2,2,Unknown
Ob213,03/06/2011,Ghwa Khwa,South Waziristan,5,12,0,0,0,0,1,3,Unknown
Ob214,06/06/2011,"Tigger, Toji Khel Wazir",South Waziristan,7,9,0,0,0,0,2,2,Unknown
Ob215,06/06/2011,Wacha Dana,South Waziristan,8,10,0,7,0,0,3,3,Unknown
Ob216,06/06/2011,Darnashtra,South Waziristan,3,5,0,0,0,0,0,0,Unknown
Ob217,08/06/2011,Zoynari,South Waziristan,18,23,0,0,0,0,6,6,Unknown
Ob218,08/06/2011,Shawal,South Waziristan,4,4,0,0,0,0,0,0,Unknown
Ob219,15/06/2011,Wana,South Waziristan,2,10,0,0,0,0,2,2,Unknown
Ob220,15/06/2011,Karez,South Waziristan,0,0,0,0,0,0,0,0,Unknown
Ob221,15/06/2011,Mir Ali,North Waziristan,5,6,5,6,0,0,0,0,Unknown
Ob222,20/06/2011,Khardand,Kurram Agency,5,7,2,7,0,0,0,3,Unknown
Ob223,20/06/2011,Zarakai,Kurram Agency,2,5,0,0,0,0,0,0,Unknown
Ob224,27/06/2011,Shawal,South Waziristan,6,12,0,0,0,0,0,0,Unknown
Ob225,27/06/2011,Shakai,South Waziristan,12,21,0,20,0,0,2,2,Unknown
Ob226,05/07/2011,Mir Ali,North Waziristan,4,6,0,3,0,2,5,5,Unknown
Ob227,11/07/2011,Gurwak,North Waziristan,4,12,0,0,0,0,2,2,Unknown
Ob228,12/07/2011,Gurwak,North Waziristan,12,25,0,0,0,0,0,0,Unknown
Ob229,12/07/2011,Barmal,South Waziristan,5,13,0,0,0,0,3,5,Unknown
Ob230,12/07/2011,Datta Khel,North Waziristan,13,15,0,4,0,0,0,0,Unknown
Ob231,12/07/2011,Datta Khel,North Waziristan,1,9,1,1,0,0,3,5,Unknown
Ob232,20/07/2011,Mir Ali,North Waziristan,4,4,0,0,0,0,2,2,Unknown
Ob233,01/08/2011,Azam Warsak,South Waziristan,3,6,0,6,0,0,2,7,Unknown
Ob234,02/08/2011,Qutab Khel,North Waziristan,3,4,0,0,0,0,0,0,Unknown
Ob235,10/08/2011,Miram Shah,North Waziristan,8,25,0,0,0,0,3,8,Unknown
Ob236,16/08/2011,Miram Shah,North Waziristan,2,7,3,4,1,1,2,2,Unknown
Ob237,19/08/2011,Shin Warsak,South Waziristan,3,4,0,0,0,0,2,2,Unknown
Ob238,22/08/2011,"Mir Koon Khel, Mir Ali",North Waziristan,3,7,0,4,0,0,3,3,Unknown
Ob239,11/09/2011,Hisokhel,North Waziristan,1,5,0,0,0,0,1,3,Unknown
Ob240,23/09/2011,Khushali,North Waziristan,3,8,0,0,0,0,3,4,Unknown
Ob241,27/09/2011,Azam Warsak,South Waziristan,0,4,0,0,0,0,0,2,Unknown
Ob242,30/09/2011,Baghar,South Waziristan,3,4,0,0,0,0,1,5,Unknown
Ob243,13/10/2011,Danda Darpakhel,North Waziristan,1,6,0,0,0,0,4,4,Unknown
Ob244,13/10/2011,"Chashma Nala, Birmal",South Waziristan,3,6,0,0,0,0,3,3,Unknown
Ob245,14/10/2011,Danda Darpakhel,North Waziristan,3,6,0,0,0,0,0,0,Unknown
Ob246,15/10/2011,Angor Adda,South Waziristan,3,6,0,0,0,0,3,7,Unknown
Ob247,26/10/2011,"Shana Wana, Birmal",South Waziristan,13,22,0,0,0,0,6,6,Unknown
Ob248,27/10/2011,Azam Warsak,South Waziristan,4,6,0,0,0,0,3,4,Unknown
Ob249,27/10/2011,Hisokhel,North Waziristan,4,6,0,0,0,0,3,3,Unknown
Ob250,30/10/2011,"Khar Khama, Datta Khel",North Waziristan,4,6,4,4,0,0,2,3,Unknown
Ob251,31/10/2011,Norak,North Waziristan,2,4,2,2,2,2,3,3,Unknown
Ob252,03/11/2011,"Sarai Darpa Khel, Miranshah",North Waziristan,2,3,0,0,0,0,3,3,Unknown
Ob253,15/11/2011,Miram Shah,North Waziristan,3,7,0,0,0,0,2,4,Unknown
Ob254,16/11/2011,Babar Ghar,South Waziristan,4,22,0,0,0,0,6,12,Unknown
Ob255,17/11/2011,Shawal,North Waziristan,7,9,0,0,0,0,3,5,Unknown
Ob256,10/01/2012,Miram Shah,North Waziristan,1,4,0,0,0,0,2,2,Unknown
