matched_sort_Adm_2,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd
KHUGYANI,12,"['19/01/2015', '18/02/2015', '14/11/2015', '08/12/2015', '03/07/2016', '14/07/2016', '01/12/2017', '25/08/2018', '02/02/2019', '07/02/2019', '10/02/2019', '19/09/2019']","[0, 8, 12, 11, 11, 4, 4, 10, 0, 0, 0, 8]","[0, 8, 13, 11, 11, 4, 4, 11, 5, 2, 2, 30]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 3, 3, 8, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 5, 3, 8, 0, 0, 0, 0, 40]",10537201.0,AF-NAN,Khūgyāṉī,Khugyani,34.231504,70.149404
KISHIM,1,['24/05/2018'],[0],[0],[0],[0],[0],[0],[0],[0],10536113.0,AF-BDS,Kishim,Kishim,36.772206,70.132549
KOT,13,"['21/03/2016', '22/03/2016', '22/03/2016', '05/04/2016', '26/05/2016', '22/06/2016', '26/06/2016', '05/07/2016', '09/07/2016', '22/08/2016', '22/09/2016', '18/11/2016', '08/06/2017']","[8, 2, 5, 6, 2, 4, 30, 12, 0, 4, 7, 7, 10]","[8, 8, 5, 6, 2, 4, 30, 12, 0, 4, 7, 7, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10537202.0,AF-NAN,Kōṯ,Kot,34.153184,70.595336
KUNDUZ,15,"['29/09/2015', '29/09/2015', '30/09/2015', '30/09/2015', '30/09/2015', '30/09/2015', '02/10/2015', '02/10/2015', '03/10/2015', '05/10/2015', '22/05/2016', '28/06/2016', '03/10/2016', '03/11/2016', '08/03/2019']","[0, 0, 0, 0, 0, 3, 0, 0, 42, 0, 13, 14, 0, 58, 0]","[0, 0, 24, 0, 0, 3, 0, 0, 42, 0, 13, 14, 0, 59, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 32, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 33, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 20, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 20, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 8, 0, 53, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 8, 0, 62, 0]",10537245.0,AF-KDZ,Kunduz,Kunduz,36.796657,68.858742
LALPUR,14,"['08/01/2015', '11/01/2015', '17/01/2015', '13/03/2015', '09/05/2015', '08/06/2015', '08/06/2015', '30/06/2015', '26/07/2015', '13/09/2015', '29/10/2015', '23/06/2016', '30/08/2016', '01/03/2017']","[6, 8, 0, 0, 13, 7, 3, 4, 5, 4, 4, 7, 6, 6]","[6, 8, 0, 0, 13, 7, 3, 14, 6, 5, 4, 7, 6, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 0, 0, 0, 0, 0, 12, 0, 2, 2, 3, 3, 1]","[3, 3, 0, 0, 0, 0, 0, 12, 0, 2, 2, 3, 3, 1]",10537204.0,AF-NAN,La‘lpūr,La`lpur,34.333393,71.024591
MAIDANSHAHR,1,['06/05/2017'],[5],[6],[0],[0],[0],[0],[6],[6],10537269.0,AF-WAR,Maīdān Shahr,Maidan Shahr,34.443944,68.824676
MAYWAND,4,"['06/09/2015', '15/07/2016', '19/10/2017', '15/06/2019']","[0, 30, 0, 0]","[0, 30, 0, 10]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 2, 0, 0]","[0, 2, 0, 6]",10537224.0,AF-KAN,Maywand,Maywand,31.58363,64.993325
MOHMANDDARAH,4,"['03/05/2015', '04/05/2015', '19/06/2015', '24/11/2015']","[12, 17, 8, 2]","[12, 17, 8, 2]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",10537205.0,AF-NAN,Mohmand Darah,Mohmand Darah,34.204757,70.984181
MUQUR,1,['09/05/2018'],[6],[6],[0],[0],[0],[0],[0],[0],10536631.0,AF-BDG,Muqur,Muqur,35.170057,63.105087
MUSAKHEL,1,['04/08/2017'],[50],[50],[0],[0],[0],[0],[3],[3],10537946.0,AF-KHO,Mūsá Khēl,Musa Khel,33.583857,69.681859
