matched_sort_Loc,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
PESHA,3,"['08/01/2016', '13/08/2016', '15/12/2016']","[17, 2, 2]","[20, 2, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2, 0, 0]","[2, 0, 0]",9092766.0,AF-NAN,Pesha,Pesha,34.063602,70.672722
PIRAKHEL,2,"['26/05/2016', '14/07/2016']","[4, 4]","[4, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 3]","[0, 3]",-3386834.0,AF-NAN,Piṟākhēl,Pirakhel,34.18047,70.171341
PURSHAKHEL,1,['22/06/2016'],[4],[4],[0],[0],[0],[0],[0],[0],9092588.0,AF-NAN,Purshā Khēl,Pursha Khel,34.124935,70.551048
RA,1,['13/03/2017'],[3],[3],[0],[0],[0],[0],[0],[0],-3388871.0,AF-GHA,Ra,Ra,33.419621,67.842239
RAGHAI,2,"['17/02/2016', '18/02/2016']","[6, 6]","[6, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",6207552.0,AF-PKA,Rāghaī,Raghai,32.96246,69.243996
SABZAK,1,['09/12/2017'],[8],[8],[0],[0],[0],[0],[3],[3],6251683.0,AF-URU,Sabzak,Sabzak,32.674687,65.896566
SAKIMANDAH,1,['18/09/2016'],[7],[8],[0],[0],[0],[0],[0],[0],6238855.0,AF-URU,Saki Māndah,Saki Mandah,32.61275,65.411248
SANGIN,2,"['23/12/2015', '19/07/2016']","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",-3389970.0,AF-HEL,Sangin,Sangin,32.072752,64.835903
SANGINA,1,['27/02/2017'],[2],[2],[0],[0],[0],[0],[3],[3],9102219.0,AF-NAN,Sangina,Sangina,34.238964,70.321556
SAW,1,['21/09/2017'],[7],[7],[0],[0],[0],[0],[0],[0],-3390776.0,AF-KNR,Sāw,Saw,35.167309,71.461516
