matched_sort_Adm_2,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd
AFGOOYE,10,"['08/03/2016', '12/05/2016', '25/08/2017', '16/10/2017', '10/11/2017', '04/12/2018', '07/02/2019', '23/02/2019', '18/03/2019', '03/01/2020']","[19, 5, 0, 0, 13, 4, 4, 0, 3, 3]","[19, 5, 10, 5, 13, 4, 4, 3, 7, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 10, 2, 3, 0, 0, 0, 4, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 8, 0, 0, 0, 0, 0, 0]",-3215104.0,SO-SH,Afgooye,Afgooye,2.1381,45.1212
AFMADOOW,1,['11/04/2018'],[0],[0],[0],[0],[0],[0],[0],[0],-3215133.0,SO-JH,Afmadoow,Afmadoow,0.512652,42.079622
BAARDHEERE,3,"['12/03/2015', '15/07/2015', '15/07/2015']","[3, 2, 0]","[3, 3, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-3215721.0,SO-GE,Baardheere,Baardheere,2.3385,42.2843
BADHAADHE,1,['07/01/2007'],[8],[10],[2],[2],[0],[1],[1],[3],-3215830.0,SO-JH,Badhaadhe,Badhaadhe,-1.033161,41.497749
BARAWE,5,"['14/09/2009', '05/10/2013', '01/08/2014', '31/08/2017', '07/09/2017']","[2, 1, 6, 1, 1]","[6, 7, 6, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[2, 1, 0, 1, 0]","[2, 1, 0, 1, 0]",-3216177.0,SO-SH,Barawe,Barawe,1.1132,44.0297
BELEDWEYNE,3,"['30/01/2019', '24/02/2019', '25/02/2019']","[24, 35, 20]","[24, 35, 20]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-3216432.0,SO-HI,Beledweyne,Beledweyne,4.735833,45.203611
BUAALE,1,['16/12/2019'],[1],[1],[0],[0],[0],[0],[0],[0],-3216949.0,SO-JD,Bu’aale,Bu'aale,1.083333,42.583333
BURHACABA,1,['05/02/2019'],[0],[0],[0],[0],[0],[0],[0],[0],-3217352.0,SO-BY,Bur Hacaba,Bur Hacaba,2.802571,44.078055
DINSOOR,2,"['31/01/2015', '08/01/2019']","[2, 6]","[9, 6]","[0, 0]","[4, 0]","[0, 0]","[0, 0]","[0, 0]","[4, 0]",-3220147.0,SO-BY,Dinsoor,Dinsoor,2.4085,42.9771
DUSAMARREB,1,['01/05/2008'],[8],[15],[5],[10],[0],[0],[0],[0],-3220028.0,SO-GA,Dusa Marreb,Dusa Marreb,5.535975,46.386656
