matched_sort_Loc,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
BADSHAHKOT,1,['27/08/2010'],[0],[0],[0],[0],[0],[0],[0],[0],392090.0,PK-KP,Badshah Kot,Badshah Kot,33.474059,70.389068
BAGH,2,"['16/03/2008', '17/09/2008']","[18, 4]","[20, 7]","[0, 0]","[4, 0]","[0, 0]","[0, 0]","[5, 3]","[9, 3]",-3875944.0,PK-KP,Bāgh,Bagh,33.805381,70.738622
BAGHAR,1,['30/09/2011'],[3],[4],[0],[0],[0],[0],[1],[5],12254134.0,PK-KP,Baghar,Baghar,32.504901,69.313181
BAR,1,['17/04/2013'],[4],[6],[0],[0],[0],[0],[2],[7],-2755917.0,PK-KP,Bar,Bar,33.567607,71.321178
BARAKZIARAT,1,['18/12/2009'],[5],[8],[5],[5],[0],[0],[4],[5],6188677.0,PK-KP,Barak Ziarat,Barak Ziarat,32.311456,69.770131
BARJOGAT,1,['12/03/2009'],[14],[26],[0],[0],[0],[0],[9],[50],-3872620.0,PK-KP,Barjogat,Barjogat,34.915437,71.769483
BILANDKHEL,1,['11/10/2012'],[16],[26],[0],[2],[0],[0],[5],[15],-3876088.0,PK-KP,Biland Khel,Biland Khel,33.316111,70.543333
BOYA,3,"['12/04/2010', '21/05/2010', '01/01/2011']","[13, 11, 4]","[13, 11, 4]","[8, 10, 0]","[13, 10, 0]","[2, 7, 0]","[2, 7, 0]","[2, 7, 4]","[3, 10, 4]",-2757059.0,PK-KP,Boya,Boya,32.960626,69.918105
CHARKHEL,1,['08/10/2010'],[5],[8],[0],[4],[0],[0],[0],[0],6047268.0,PK-KP,Chār Khel,Char Khel,33.061164,69.581582
CHASHMA,1,['29/11/2008'],[2],[3],[0],[3],[0],[0],[2],[3],-2755805.0,PK-KP,Chashma,Chashma,32.448668,71.325983
DANDADARPAKHEL,12,"['02/11/2007', '23/10/2008', '21/08/2009', '29/09/2009', '15/10/2009', '18/02/2010', '23/08/2010', '08/09/2010', '08/09/2010', '13/10/2011', '14/10/2011', '01/11/2013']","[5, 8, 17, 4, 3, 3, 20, 5, 10, 1, 3, 4]","[10, 11, 21, 9, 4, 5, 20, 10, 10, 6, 6, 7]","[0, 7, 9, 0, 0, 0, 7, 4, 0, 0, 0, 0]","[0, 10, 13, 4, 0, 0, 9, 4, 0, 0, 0, 0]","[0, 7, 6, 0, 0, 0, 3, 4, 0, 0, 0, 0]","[0, 7, 6, 0, 0, 0, 3, 4, 0, 0, 0, 0]","[6, 6, 2, 2, 7, 4, 15, 2, 2, 4, 0, 2]","[12, 11, 2, 6, 7, 4, 15, 2, 5, 4, 0, 2]",12269276.0,PK-KP,Danda Darpa Khel,Danda Darpa Khel,33.02178,70.052929
DAR,7,"['08/09/2009', '24/02/2010', '23/08/2010', '15/09/2010', '21/02/2011', '14/03/2011', '29/09/2013']","[10, 5, 5, 11, 7, 3, 3]","[15, 13, 7, 15, 14, 6, 6]","[5, 5, 0, 5, 0, 0, 0]","[5, 6, 0, 5, 11, 0, 0]","[3, 1, 0, 0, 0, 0, 0]","[3, 1, 0, 0, 0, 0, 0]","[4, 6, 3, 1, 10, 0, 1]","[5, 6, 12, 5, 10, 0, 3]",-3875688.0,PK-KP,Dar,Dar,33.699124,70.591937
DARAZINDA,1,['20/09/2010'],[3],[6],[0],[3],[0],[0],[0],[0],173768.0,PK-KP,Darazinda,Darazinda,33.245675,70.503693
DEGAN,7,"['19/01/2010', '02/02/2010', '19/09/2010', '27/10/2010', '23/01/2012', '28/05/2012', '01/09/2012']","[5, 0, 3, 2, 2, 2, 4]","[9, 0, 9, 4, 5, 5, 6]","[0, 0, 5, 0, 0, 0, 0]","[0, 0, 5, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 1, 1, 0, 2]","[4, 0, 0, 1, 3, 0, 3]",-2759023.0,PK-KP,Degān,Degan,32.924758,70.699781
DIN,1,['02/01/2009'],[3],[4],[0],[0],[0],[0],[3],[5],149434.0,PK-KP,Din,Din,32.997624,70.821388
DOGA,4,"['23/01/2011', '23/01/2011', '13/05/2011', '19/07/2014']","[2, 2, 3, 11]","[5, 3, 5, 15]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",-3875733.0,PK-KP,Doga,Doga,33.631653,70.525614
DWASARAK,1,['24/07/2010'],[16],[18],[0],[0],[0],[0],[24],[24],435800.0,PK-KP,Dwa Sarak,Dwa Sarak,32.051473,69.424505
DWATOI,1,['11/11/2014'],[4],[7],[0],[2],[0],[2],[2],[3],-2759969.0,PK-KP,Dwa Toi,Dwa Toi,33.870138,70.777899
GANIKHEL,4,"['27/08/2008', '23/01/2009', '08/04/2009', '19/04/2009']","[0, 5, 3, 0]","[0, 10, 4, 8]","[0, 5, 0, 0]","[0, 10, 0, 8]","[0, 3, 0, 0]","[0, 4, 0, 0]","[4, 2, 2, 3]","[4, 2, 5, 5]",-3880586.0,PK-KP,Gani Khel,Gani Khel,32.50894,69.721129
GARHISHIA,1,['10/10/2010'],[4],[9],[0],[0],[0],[0],[3],[3],-3881469.0,PK-KP,Garhi Shia,Garhi Shia,34.010346,71.703013
GARIWAMALGAD,1,['17/07/2009'],[5],[6],[0],[0],[0],[0],[4],[6],-3880687.0,PK-KP,Gariwām Algad,Gariwam Algad,32.642766,69.724562
GHARI,1,['15/09/2017'],[3],[3],[0],[0],[0],[0],[1],[2],-2760498.0,PK-KP,Ghari,Ghari,33.053795,71.390334
GHOR,1,['11/03/2011'],[4],[4],[0],[0],[0],[0],[0],[0],396927.0,PK-KP,Ghor,Ghor,33.23613,70.286429
GHUND,1,['01/01/2010'],[2],[3],[0],[0],[0],[0],[3],[4],-3871058.0,PK-KP,Ghund,Ghund,34.622086,71.710071
GHUNDAIKILLI,1,['03/01/2013'],[3],[6],[0],[0],[0],[0],[1],[1],170182.0,PK-KP,Ghundai Killi,Ghundai Killi,34.490235,71.536845
GHWAIKHWA,1,['03/06/2011'],[5],[12],[0],[0],[0],[0],[1],[3],6077122.0,PK-KP,Ghwai Khwa,Ghwai Khwa,32.248305,69.526317
GOR,2,"['10/05/2011', '15/10/2011']","[3, 3]","[5, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[4, 3]","[4, 7]",-3872803.0,PK-KP,Gor,Gor,34.996917,71.79724
HAD,1,['06/06/2011'],[8],[10],[0],[7],[0],[0],[3],[3],-2762009.0,PK-KP,Had,Had,34.572938,71.445023
HAG,1,['12/08/2008'],[12],[25],[0],[5],[0],[0],[0],[4],-2762034.0,PK-KP,Hag,Hag,35.770487,72.806256
