matched_sort_Loc,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
MACHIKHEL,7,"['07/09/2009', '20/11/2009', '31/12/2009', '24/04/2010', '03/05/2010', '15/10/2010', '27/12/2010']","[5, 3, 3, 7, 4, 3, 4]","[8, 14, 7, 9, 6, 5, 4]","[3, 3, 3, 0, 0, 0, 0]","[3, 3, 3, 0, 2, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[2, 2, 2, 0, 0, 0, 0]","[7, 12, 2, 0, 0, 0, 0]",-2767787.0,PK-KP,Machi Khel,Machi Khel,33.028817,70.243064
MAMIROGHA,1,['19/06/2007'],[20],[34],[0],[34],[0],[0],[10],[15],-2768303.0,PK-KP,Māmi Rogha,Mami Rogha,32.833985,69.861224
MANDA,1,['09/03/2012'],[4],[15],[0],[0],[0],[0],[0],[3],-3875663.0,PK-KP,Manda,Manda,33.703689,70.710929
MANDATTA,1,['26/10/2008'],[18],[20],[0],[4],[0],[3],[2],[2],-3875921.0,PK-KP,Mandatta,Mandatta,33.820901,70.58582
MANDIKHEL,2,"['01/01/2011', '01/01/2011']","[8, 4]","[10, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",-3879029.0,PK-KP,Mandi Khel,Mandi Khel,32.912952,69.735614
MANG,1,['09/01/2016'],[5],[5],[0],[0],[0],[0],[2],[2],-2768426.0,PK-KP,Mang,Mang,33.907193,72.910389
MANRAALGAD,1,['14/06/2009'],[3],[5],[0],[3],[0],[0],[0],[0],-3880745.0,PK-KP,Manra Algad,Manra Algad,32.725262,69.569395
MANTOI,1,['03/07/2009'],[0],[5],[0],[5],[0],[0],[0],[0],-3880610.0,PK-KP,Mantoi,Mantoi,32.511634,69.61357
MASORI,1,['31/10/2008'],[4],[25],[1],[20],[0],[0],[0],[0],6140328.0,PK-KP,Masori,Masori,31.421677,70.526802
MEDANAKRAILWAYSTATION,1,['09/10/2008'],[5],[9],[1],[9],[1],[4],[2],[2],-3881422.0,PK-KP,Medanak Railway Station,Medanak Railway Station,34.007773,71.308325
MIRANSHAH,1,['24/10/2012'],[1],[1],[1],[1],[0],[0],[6],[9],-2769162.0,PK-KP,Miran Shah,Miran Shah,33.000588,70.071166
MOR,1,['21/09/2010'],[7],[8],[0],[0],[0],[0],[4],[5],-2769489.0,PK-KP,Mor,Mor,31.949786,70.757231
MOSSAKI,3,"['05/11/2005', '03/01/2010', '31/08/2013']","[8, 5, 3]","[8, 5, 4]","[3, 1, 0]","[8, 2, 0]","[2, 1, 0]","[3, 1, 0]","[1, 2, 1]","[1, 2, 3]",251097.0,PK-KP,Mossaki,Mossaki,32.825035,70.069038
MU,2,"['27/03/2010', '06/10/2010']","[4, 3]","[4, 5]","[0, 0]","[4, 0]","[0, 0]","[0, 0]","[5, 3]","[5, 3]",6140509.0,PK-KP,Mu,Mu,31.958039,70.985846
MUHAMMADKHEL,5,"['04/09/2008', '29/01/2010', '02/02/2010', '08/10/2010', '24/02/2011']","[5, 2, 0, 4, 4]","[7, 15, 0, 6, 7]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[3, 4, 0, 0, 3]","[4, 4, 0, 0, 2]",-2769600.0,PK-KP,Muhammad Khel,Muhammad Khel,32.983333,70.533333
NAKH,1,['21/08/2012'],[4],[25],[1],[3],[1],[1],[2],[2],6108089.0,PK-KP,Nakh,Nakh,34.545082,73.035488
NAR,2,"['28/05/2010', '08/06/2011']","[8, 18]","[12, 23]","[0, 0]","[11, 0]","[0, 0]","[0, 0]","[4, 6]","[4, 6]",-2770185.0,PK-KP,Nar,Nar,33.987021,73.226434
NARSIKHEL,1,['14/02/2009'],[25],[35],[1],[9],[1],[1],[11],[15],241480.0,PK-KP,Narsi Khel,Narsi Khel,32.831055,70.393668
NISHPA,1,['09/03/2012'],[6],[6],[0],[0],[0],[0],[0],[0],-2770282.0,PK-KP,Nishpa,Nishpa,33.238218,71.326145
PAIKHEL,3,"['02/02/2010', '15/09/2010', '03/11/2010']","[9, 4, 4]","[9, 7, 5]","[5, 0, 0]","[5, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 3, 0]","[0, 3, 0]",-3870705.0,PK-KP,Pai Khel,Pai Khel,34.812804,71.76033
PAINDAKHEL,1,['10/07/2009'],[3],[5],[0],[0],[0],[0],[3],[3],-3871103.0,PK-KP,Painda Khel,Painda Khel,34.646561,71.655896
PIR,1,['26/11/2010'],[2],[4],[1],[4],[1],[1],[0],[0],-2770950.0,PK-KP,Pir,Pir,34.330273,73.303972
QAZIKOT,1,['29/05/2013'],[3],[7],[0],[0],[0],[0],[1],[4],249995.0,PK-KP,Qazikot,Qazikot,32.974144,70.078321
QUTABKHEL,6,"['21/08/2010', '14/09/2010', '03/11/2010', '13/03/2011', '02/08/2011', '25/12/2013']","[4, 1, 4, 4, 3, 3]","[6, 4, 5, 7, 4, 4]","[0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[2, 4, 0, 5, 0, 1]","[2, 4, 0, 5, 0, 1]",-2756397.0,PK-KP,Qutab Khel,Qutab Khel,32.965375,70.082695
RAI,5,"['03/07/2009', '02/02/2010', '14/09/2010', '18/08/2012', '06/01/2013']","[10, 23, 11, 5, 8]","[17, 24, 12, 12, 18]","[0, 0, 0, 1, 0]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[27, 0, 4, 2, 3]","[35, 0, 4, 9, 7]",-3881399.0,PK-KP,Rāi,Rai,34.746165,71.277782
RAMA,1,['26/09/2010'],[4],[5],[0],[0],[0],[0],[2],[2],-2772313.0,PK-KP,Rama,Rama,34.893035,72.363321
SAIDGAI,3,"['27/04/2007', '26/12/2009', '16/07/2014']","[3, 13, 15]","[4, 20, 24]","[3, 6, 0]","[4, 6, 0]","[0, 0, 0]","[0, 0, 0]","[3, 12, 4]","[9, 12, 6]",6092715.0,PK-KP,Saidgai,Saidgai,35.064435,72.500926
SANZALAI,2,"['06/01/2010', '06/01/2010']","[5, 5]","[7, 9]","[0, 5]","[6, 5]","[0, 0]","[0, 0]","[5, 3]","[5, 3]",-3879084.0,PK-KP,Sanzalai,Sanzalai,32.961959,69.594253
SAR,1,['02/10/2010'],[8],[10],[0],[0],[0],[0],[2],[4],-2773689.0,PK-KP,Sar,Sar,34.107078,71.456954
SARAI,1,['30/03/2012'],[3],[4],[0],[0],[0],[0],[3],[3],-3875581.0,PK-KP,Sarai,Sarai,34.244428,71.884867
SARAKHWAR,1,['12/05/2009'],[5],[9],[0],[0],[0],[0],[4],[4],6245757.0,PK-KP,Sara Khwar,Sara Khwar,33.828383,70.763065
SHABAK,1,['18/03/2015'],[3],[3],[0],[0],[0],[0],[0],[0],-3876231.0,PK-KP,Shabak,Shabak,33.423563,70.368951
SHAGA,3,"['17/12/2009', '14/04/2010', '08/09/2010']","[12, 4, 3]","[16, 5, 4]","[6, 0, 0]","[6, 0, 4]","[0, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 3, 2]",-3880990.0,PK-KP,Shaga,Shaga,32.488889,69.57
SHAH,1,['06/12/2012'],[2],[11],[1],[1],[0],[0],[1],[6],-3872415.0,PK-KP,Shah,Shah,34.796193,71.8391
SHAHIDANO,1,['27/08/2010'],[3],[9],[0],[0],[0],[0],[2],[2],9207098.0,PK-KP,Shahidano,Shahidano,34.32555,72.295141
SHAKAI,1,['27/06/2011'],[12],[21],[0],[20],[0],[0],[2],[2],248818.0,PK-KP,Shakai,Shakai,32.58627,70.061059
SHAL,1,['16/05/2011'],[4],[10],[0],[0],[0],[0],[2],[4],-3880710.0,PK-KP,Shal,Shal,32.657532,69.744136
SHARKI,1,['23/01/2009'],[7],[15],[9],[11],[1],[1],[1],[1],-3878999.0,PK-KP,Sharki,Sharki,32.890278,69.605505
SHAWA,18,"['01/07/2012', '23/07/2012', '19/08/2012', '19/08/2012', '24/08/2012', '24/08/2012', '24/08/2012', '29/12/2012', '07/06/2013', '03/07/2013', '28/07/2013', '11/10/2014', '26/11/2014', '26/12/2014', '26/12/2014', '19/01/2015', '16/05/2015', '18/05/2015']","[6, 11, 4, 2, 13, 0, 0, 4, 7, 16, 5, 2, 4, 4, 3, 5, 4, 3]","[9, 14, 7, 3, 22, 0, 0, 5, 11, 18, 8, 4, 9, 5, 4, 7, 7, 6]","[0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 4, 0, 0, 2, 3, 5, 2, 0, 2, 0, 0, 4, 2, 2]","[3, 11, 3, 2, 14, 0, 0, 2, 4, 5, 4, 0, 3, 0, 0, 6, 2, 3]",-3881225.0,PK-KP,Shawa,Shawa,34.599132,71.262157
SHAWAL,11,"['08/06/2011', '27/06/2011', '17/11/2011', '26/06/2012', '05/10/2014', '06/10/2014', '07/10/2014', '15/01/2015', '28/01/2015', '12/04/2015', '01/06/2015']","[4, 6, 7, 4, 4, 4, 4, 5, 6, 4, 4]","[4, 12, 9, 7, 5, 8, 7, 7, 7, 4, 5]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 2, 2, 4, 5, 0, 2, 2, 0]","[0, 0, 5, 7, 3, 6, 11, 0, 4, 2, 0]",6273539.0,PK-KP,Shawal,Shawal,32.738056,69.466944
SHERANI,2,"['15/07/2010', '26/09/2010']","[9, 2]","[14, 3]","[0, 0]","[7, 0]","[0, 0]","[0, 0]","[3, 0]","[3, 0]",-2774566.0,PK-KP,Sherani,Sherani,32.892528,69.641322
SHINWARSAK,4,"['22/12/2008', '19/08/2011', '29/11/2012', '01/12/2012']","[2, 3, 1, 1]","[4, 4, 4, 4]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[4, 2, 3, 3]","[4, 2, 4, 3]",-3880821.0,PK-KP,Shin Warsak,Shin Warsak,32.275128,69.511901
