Latitude,Longitude,town,country,strikes,deaths,injuries,civilians,children,photo_height,photo_reference,photo_width,photo_attribution
32.99714649,69.72644806,Mohammad Khel,Pakistan,5,23,10,0,0,1200,CmRaAAAAKzn6nr_lGLUOrDBwyEmoYcMsu-5LOEnWVcyMU_FG8AGAe5E4SmFPUqUKM1IcVPGbsljYbgzfl2V0CjyZjFerd80v5ZgcSop_fNgliCknTxcHTgYyik8ockA2n0qxA2wlEhBxDsLwByAJOBeOgGYz4VflGhRMUqgyEznvGQlv8fdILLRi4_uC0g,1600,"<a href=""https://maps.google.com/maps/contrib/102511204096360141403/photos"">Abdul Majid</a>"
33.03860068,69.53933716,Gurwak,Pakistan,4,29,6,7,4,""
33.00211338,70.0756073,Tol Khel,Pakistan,1,10,14,0,0,""
32.50339198,69.28459167,Baghar Cheena,Pakistan,1,4,3,0,0,""
32.96863543,70.35301208,Khushali,Pakistan,6,23,22,2,0,""
33.151242,70.434707,Datta Khel,Pakistan,37,260,100,64,9,768,CmRaAAAAMz9kiOmwAiJkNdJdLlk-F3aMRwWONkwTEonMfEZqjxiGYtkjiNpitB8IN4YWcff9T0DHw_Nb3PlR62_0ZAwsRsejGbHj3jHkuQqD715hXSr2-TO1l2G0B7De6kTJWeSAEhB9xafl89jDnXVmO632OS4tGhTFXmaKiKqfAs8-262wAhTr2X-tsQ,1024,"<a href=""https://maps.google.com/maps/contrib/109060760079919984302/photos"">Zia Ur Rahman</a>"
32.994267,70.1653862,Tati,Pakistan,1,4,2,4,4,""
32.54131432,69.85279083,Taparghai,Pakistan,2,13,16,4,0,""
32.55100944,69.60783005,Mandata,Pakistan,1,15,2,4,0,""
32.97583606,70.26906967,Asori,Pakistan,1,4,0,0,0,""
32.31760259,69.50054169,Kari Kot,Pakistan,4,17,41,0,0,""
32.74396995,70.06736755,Kumsham,Pakistan,1,11,17,6,0,""
32.7028111,69.86875534,Garyom,Pakistan,1,11,2,3,Unknown,""
32.98015615,70.06530762,Ali Khel,Pakistan,1,4,6,0,0,""
